Edition_Year,Edition_Date,Attendance,Team1,Team1Score,Team2,Team2Score,MVP,CoMVP,Arena
2023,2/19/23,17886,Giannis,184,LeBron,175,Jayson Tatum,,"Vivint Smart Home Arena, Salt Lake City, UT"
2022,2/20/22,,Lebron,163,Durant,160,Stephen Curry,,"Rocket Mortgage FieldHouse, Cleveland, OH"
2021,3/7/21,,LeBron,170,Durant,150,Giannis Antetokounmpo,,"State Farm Arena, Atlanta, GA"
2020,2/16/20,17808,LeBron,157,Giannis,155,Kawhi Leonard,,"United Center, Chicago, IL"
2019,2/17/19,,LeBron,178,Giannis,164,Kevin Durant,,"Spectrum Center, Charlotte, NC"
2018,2/18/18,17801,LeBron,148,Stephen,145,LeBron James,,"STAPLES Center, Los Angeles, CA"
2017,2/19/17,15701,West,192,East,182,Anthony Davis,,"Smoothie King Center, New Orleans, LA"
2016,2/14/16,18298,West,196,East,173,Russell Westbrook,,"Air Canada Centre, Toronto,"
2015,2/15/15,17198,West,163,East,158,Russell Westbrook,,"Madison Square Garden, New York, NY"
2014,2/16/14,14727,East,163,West,155,Kyrie Irving,,"Smoothie King Center, New Orleans, LA"
2013,2/17/13,16101,West,143,East,138,Chris Paul,,"Toyota Center, Houston, TX"
2012,2/26/12,17125,West,152,East,149,Kevin Durant,,"Amway Center, Orlando, FL"
2011,2/20/11,17163,West,148,East,143,Kobe Bryant,,"STAPLES Center, Los Angeles, CA"
2010,2/14/10,108713,East,141,West,139,Dwyane Wade,,"Cowboys Stadium, Arlington, TX"
2009,2/15/09,16382,West,146,East,119,Kobe Bryant,Shaquille O'Neal,"US Airways Center, Phoenix, AZ"
2008,2/17/08,16271,East,134,West,128,LeBron James,,"New Orleans Arena, New Orleans, LA"
2007,2/18/07,15694,West,153,East,132,Kobe Bryant,,"Thomas & Mack Center, Las Vegas, NV"
2006,2/19/06,18652,East,122,West,120,LeBron James,,"Toyota Center, Houston, TX"
2005,2/20/05,18227,East,125,West,115,Allen Iverson,,"Pepsi Center, Denver, CO"
2004,2/15/04,19662,West,136,East,132,Shaquille O'Neal,,"STAPLES Center, Los Angeles, CA"
2003,2/9/03,20325,West,155,East,145,Kevin Garnett,,"Philips Arena, Atlanta, GA"
2002,2/10/02,19581,West,135,East,120,Kobe Bryant,,"First Union Center, Philadelphia, PA"
2001,2/11/01,20374,East,111,West,110,Allen Iverson,,"MCI Center, Washington, DC"
2000,2/13/00,18325,West,137,East,126,Tim Duncan,Shaquille O'Neal,"Oakland Arena, Oakland, CA"
1998,2/8/98,18323,East,135,West,114,Michael Jordan,,"Madison Square Garden, New York, NY"
1997,2/9/97,20562,East,132,West,120,Glen Rice,,"Gund Arena, Cleveland, OH"
1996,2/11/96,36037,East,129,West,118,Michael Jordan,,"Alamodome, San Antonio, TX"
1995,2/12/95,18755,West,139,East,112,Mitch Richmond,,"America West Arena, Phoenix, AZ"
1994,2/13/94,17096,East,127,West,118,Scottie Pippen,,"Target Center, Minneapolis, MN"
