Player_name,Total,NBA,ABA,Country,Height,Weight
Kareem Abdul-Jabbar,19,19,0,USA,218,102
Shareef Abdur-Rahim,1,1,0,USA,206,102
Alvan Adams,1,1,0,USA,206,95
Michael Adams,1,1,0,USA,178,73
Bam Adebayo,2,2,0,USA,206,115
Mark Aguirre,3,3,0,USA,198,105
Danny Ainge,1,1,0,USA,193,79
LaMarcus Aldridge,7,7,0,USA,211,113
Jarrett Allen,1,1,0,USA,211,110
Ray Allen,10,10,0,USA,196,92
Kenny Anderson,1,1,0,USA,183,76
Giannis Antetokounmpo,7,7,0,Greece,213,109
Carmelo Anthony,10,10,0,USA,201,107
Tiny Archibald,6,6,0,USA,185,68
Gilbert Arenas,3,3,0,USA,193,86
Paul Arizin,10,10,0,USA,193,86
B.J. Armstrong,1,1,0,USA,188,79
Vin Baker,4,4,0,USA,211,105
LaMelo Ball,1,1,0,USA,201,81
Charles Barkley,11,11,0,USA,198,114
Don Barksdale,1,1,0,USA,198,90
Dick Barnett,1,1,0,USA,193,86
Leo Barnhorst,2,2,0,USA,193,86
Dana Barros,1,1,0,USA,180,73
Rick Barry,12,8,4,USA,201,92
Elgin Baylor,11,11,0,USA,196,102
Bradley Beal,3,3,0,USA,193,93
Butch Beard,1,1,0,USA,190,83
Ralph Beard,1,1,0,USA,178,79
Zelmo Beaty,5,2,3,USA,206,102
Walt Bellamy,4,4,0,USA,211,102
Chauncey Billups,5,5,0,USA,190,91
Dave Bing,7,7,0,USA,190,81
Larry Bird,12,12,0,USA,206,99
Otis Birdsong,4,4,0,USA,190,86
Rolando Blackman,4,4,0,USA,198,86
Mookie Blaylock,1,1,0,USA,183,81
John Block,1,1,0,USA,206,93
Devin Booker,3,3,0,USA,196,93
Bob Boozer,1,1,0,USA,203,97
Carlos Boozer,2,2,0,Germany,206,117
Vince Boryla,1,1,0,USA,196,95
Chris Bosh,11,11,0,USA,211,106
Bill Bradley,1,1,0,USA,196,92
Elton Brand,2,2,0,USA,206,124
Terrell Brandon,2,2,0,USA,180,81
Carl Braun,5,5,0,USA,196,81
Frankie Brian,2,2,0,USA,185,81
Bill Bridges,3,3,0,USA,198,103
Jaylen Brown,2,2,0,USA,198,101
Kobe Bryant,18,18,0,USA,198,96
