Edition_Year,AllStarTeam,Player_name,Team,MP,FG,FGA,ThreeP,ThreePA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_per,ThreeP_per,FT_per
2023,Giannis,Jayson Tatum,BOS,35:15:00,22,31,10,18,1,2,1,9,10,6,1,1,4,0,55,0.71,0.556,0.5
2023,Giannis,Donovan Mitchell,CLE,30:08:00,15,25,8,17,2,2,1,3,4,10,3,0,2,1,40,0.6,0.471,1
2023,Giannis,Lauri Markkanen,UTA,25:52:00,6,13,1,6,0,0,2,5,7,0,0,0,0,0,13,0.462,0.167,
2023,Giannis,Ja Morant,MEM,19:59,3,4,0,0,0,0,1,2,3,3,1,0,0,0,6,0.75,,
2023,Giannis,Giannis Antetokounmpo,MIL,0:20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,,
2023,Giannis,Bam Adebayo,MIA,23:34,2,2,0,0,0,0,0,0,0,1,0,0,2,0,4,1,,
2023,Giannis,Damian Lillard,POR,23:24,9,21,8,20,0,0,1,2,3,4,3,0,0,0,26,0.429,0.4,
2023,Giannis,DeMar DeRozan,CHI,16:01,4,6,0,0,0,0,0,6,6,5,0,0,0,0,8,0.667,,
2023,Giannis,Pascal Siakam,TOR,15:04,6,8,0,1,0,0,2,5,7,4,0,0,2,0,12,0.75,0,
2023,Giannis,Domantas Sabonis,SAC,11:47,3,4,0,0,0,0,0,4,4,1,0,0,2,0,6,0.75,,
2023,Giannis,Shai Gilgeous-Alexander,OKC,10:05,4,5,1,1,0,0,2,0,2,7,0,0,0,0,9,0.8,1,
2023,Giannis,Jrue Holiday,MIL,9:01,1,3,1,3,0,0,0,0,0,2,0,0,0,0,3,0.333,0.333,
2023,Giannis,Kevin Durant,BRK,,,,,,,,,,,,,,,,,,,
2023,LeBron,Kyrie Irving,BRK,28:32:00,14,21,4,8,0,0,2,4,6,15,0,0,3,2,32,0.667,0.5,
2023,LeBron,Joel Embiid,PHI,27:30:00,14,19,4,8,0,0,1,6,7,4,1,1,1,2,32,0.737,0.5,
2023,LeBron,Nikola Jokic,DEN,20:26,2,4,0,1,0,0,3,2,5,6,2,0,2,0,4,0.5,0,
2023,LeBron,Luka Doncic,DAL,18:57,2,5,0,3,0,0,0,2,2,5,0,0,1,0,4,0.4,0,
2023,LeBron,LeBron James,LAL,14:25,6,11,1,5,0,0,0,1,1,4,0,0,0,1,13,0.545,0.2,
2023,LeBron,Jaylen Brown,BOS,25:09:00,16,27,3,12,0,0,5,9,14,5,2,0,0,0,35,0.593,0.25,
2023,LeBron,Julius Randle,NYK,19:35,5,10,1,5,0,0,0,2,2,2,1,0,1,0,11,0.5,0.2,
2023,LeBron,Paul George,LAC,17:53,4,13,0,9,0,0,1,1,2,2,1,1,1,0,8,0.308,0,
2023,LeBron,Anthony Edwards,MIN,17:03,6,8,0,2,0,0,1,3,4,1,0,0,1,0,12,0.75,0,
2023,LeBron,Tyrese Haliburton,IND,13:52,7,9,4,6,0,0,0,1,1,3,0,0,0,0,18,0.778,0.667,
2023,LeBron,De'Aaron Fox,SAC,9:16,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,
2023,LeBron,Jaren Jackson Jr.,MEM,7:52,3,4,0,1,0,0,0,1,1,0,0,0,0,0,6,0.75,0,
2023,LeBron,Stephen Curry,GSW,,,,,,,,,,,,,,,,,,,
2023,LeBron,Zion Williamson,NOP,,,,,,,,,,,,,,,,,,,
2022,LeBron,Stephen Curry,GSW,36:15:00,17,30,16,27,0,0,1,4,5,2,1,2,5,1,50,0.567,0.593,
2022,LeBron,LeBron James,LAL,36:15:00,11,24,2,11,0,0,1,5,6,8,3,1,3,0,24,0.458,0.182,
2022,LeBron,Giannis Antetokounmpo,MIL,26:40:00,15,21,0,3,0,0,5,7,12,6,3,1,1,3,30,0.714,0,
2022,LeBron,DeMar DeRozan,CHI,26:40:00,4,8,0,1,2,2,1,3,4,5,0,0,1,0,10,0.5,0,1
2022,LeBron,Nikola Jokic,DEN,21:01,4,5,2,3,0,0,3,6,9,8,1,0,1,0,10,0.8,0.667,
2022,LeBron,Luka Doncic,DAL,24:40:00,3,6,2,4,0,0,0,0,0,3,0,0,1,0,8,0.5,0.5,
2022,LeBron,Darius Garland,CLE,23:45,5,12,3,7,0,0,0,1,1,3,2,0,1,0,13,0.417,0.429,
2022,LeBron,Jarrett Allen,CLE,23:45,5,6,0,1,0,0,2,7,9,1,1,2,2,1,10,0.833,0,
2022,LeBron,Fred VanVleet,TOR,9:20,2,4,2,4,0,0,0,2,2,3,0,0,1,0,6,0.5,0.5,
2022,LeBron,Jimmy Butler,MIA,9:20,1,2,0,1,0,0,0,0,0,1,2,0,0,0,2,0.5,0,
2022,LeBron,Chris Paul,PHO,2:19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
2022,Durant,Joel Embiid,PHI,30:35:00,14,20,5,8,3,3,2,8,10,4,0,0,0,0,36,0.7,0.625,1
2022,Durant,Jayson Tatum,BOS,20:20,4,10,0,4,0,0,2,2,4,5,1,0,0,0,8,0.4,0,
2022,Durant,Trae Young,ATL,19:06,5,13,3,9,0,0,0,2,2,10,2,0,3,0,13,0.385,0.333,
2022,Durant,Ja Morant,MEM,17:33,3,6,0,1,0,0,0,1,1,3,0,0,0,0,6,0.5,0,
2022,Durant,Andrew Wiggins,GSW,15:15,4,7,2,4,0,0,0,0,0,1,0,0,1,0,10,0.571,0.5,
2022,Durant,Devin Booker,PHO,29:56:00,9,18,2,9,0,0,0,5,5,2,4,0,5,1,20,0.5,0.222,
2022,Durant,Dejounte Murray,SAS,26:38:00,7,11,1,3,2,2,4,1,5,5,0,1,1,0,17,0.636,0.333,1
2022,Durant,LaMelo Ball,CHO,22:23,7,11,4,8,0,0,0,3,3,3,3,0,0,1,18,0.636,0.5,
2022,Durant,Khris Middleton,MIL,20:42,1,8,1,5,2,2,2,3,5,2,0,0,2,0,5,0.125,0.2,1
2022,Durant,Karl-Anthony Towns,MIN,14:12,4,8,1,4,0,0,3,3,6,3,0,0,1,0,9,0.5,0.25,
2022,Durant,Rudy Gobert,UTA,12:33,3,3,0,0,0,0,0,6,6,0,1,0,0,0,6,1,,
2022,Durant,Zach LaVine,CHI,10:47,5,7,2,4,0,0,0,3,3,3,0,0,1,0,12,0.714,0.5,
2021,LeBron,Luka Doncic,DAL,32:00:00,3,7,2,6,0,0,0,3,3,8,0,0,2,1,8,0.429,0.333,
2021,LeBron,Stephen Curry,GSW,22:00,10,19,8,16,0,0,0,4,4,4,2,0,1,0,28,0.526,0.5,
2021,LeBron,Giannis Antetokounmpo,MIL,19:00,16,16,3,3,0,0,3,4,7,3,1,1,3,1,35,1,1,
2021,LeBron,Nikola Jokic,DEN,19:00,3,4,0,0,0,0,0,7,7,5,0,1,2,1,6,0.75,,
2021,LeBron,LeBron James,LAL,13:00,2,7,0,3,0,0,0,2,2,4,0,1,1,0,4,0.286,0,
2021,LeBron,Chris Paul,PHO,31:00:00,3,6,0,3,0,0,1,7,8,16,3,0,3,3,6,0.5,0,
2021,LeBron,Jaylen Brown,BOS,26:00:00,8,12,5,7,1,3,2,3,5,1,2,0,3,1,22,0.667,0.714,0.333
2021,LeBron,Paul George,LAC,26:00:00,6,8,5,7,0,0,0,2,2,2,1,0,1,0,17,0.75,0.714,
2021,LeBron,Damian Lillard,POR,21:00,11,20,8,16,2,2,0,2,2,1,0,0,2,1,32,0.55,0.5,1
2021,LeBron,Domantas Sabonis,IND,18:00,1,2,0,0,0,0,1,0,1,1,0,0,0,0,2,0.5,,
2021,LeBron,Rudy Gobert,UTA,13:00,5,6,0,0,0,0,1,6,7,1,0,0,0,0,10,0.833,,
2021,Durant,Kyrie Irving,BRK,32:00:00,10,15,2,6,2,3,3,2,5,12,2,0,1,2,24,0.667,0.333,0.667
2021,Durant,Bradley Beal,WAS,31:00:00,10,16,6,12,0,0,1,1,2,4,1,0,1,0,26,0.625,0.5,
2021,Durant,Kawhi Leonard,LAC,20:00,3,8,2,7,0,0,1,8,9,8,1,0,3,0,8,0.375,0.286,
2021,Durant,Jayson Tatum,BOS,17:00,9,16,3,9,0,0,1,3,4,7,4,0,0,3,21,0.563,0.333,
2021,Durant,Zion Williamson,NOP,14:00,5,9,0,0,0,0,1,0,1,0,0,0,0,0,10,0.556,,
2021,Durant,James Harden,BRK,32:00:00,7,14,7,13,0,0,0,2,2,4,1,0,3,0,21,0.5,0.538,
2021,Durant,Donovan Mitchell,UTA,28:00:00,6,12,3,9,0,0,0,4,4,4,1,0,1,1,15,0.5,0.333,
2021,Durant,Zach LaVine,CHI,28:00:00,5,10,2,6,1,2,3,1,4,3,3,0,2,1,13,0.5,0.333,0.5
2021,Durant,Nikola Vucevic,ORL,13:00,2,6,1,5,0,0,0,7,7,1,1,0,0,0,5,0.333,0.2,
2021,Durant,Julius Randle,NYK,13:00,2,2,0,0,0,0,0,2,2,2,0,0,2,0,4,1,,
2021,Durant,Mike Conley,UTA,12:00,1,6,1,5,0,0,0,1,1,2,1,0,1,1,3,0.167,0.2,
2020,LeBron,Kawhi Leonard,LAC,20:21,11,18,8,14,0,0,1,6,7,4,2,0,1,2,30,0.611,0.571,
