Edition_year,Player_name,Votes,Rank
2023,LeBron James,7418116,1
2023,Giannis Antetokounmpo,6761032,2
2023,Kevin Durant,6525199,3
2023,Stephen Curry,5826248,4
2023,Luka Doncic,5566875,5
2023,Nikola Jokic,5418036,6
2023,Jayson Tatum,5221720,7
2023,Joel Embiid,4900482,8
2023,Kyrie Irving,4467232,9
2023,Donovan Mitchell,4440133,10
2023,Zion Williamson,4217393,11
2023,Jaylen Brown,2416644,12
2023,Ja Morant,2214793,13
2023,Shai Gilgeous-Alexander,2107557,14
2023,Paul George,1775937,15
2023,Lauri Markkanen,1642052,16
2023,DeMar DeRozan,1130944,17
2023,Pascal Siakam,868243,18
2023,Domantas Sabonis,859352,19
2023,Damian Lillard,774826,20
2023,Tyrese Haliburton,653123,21
2023,De'Aaron Fox,477787,22
2023,Julius Randle,451862,23
2023,Bam Adebayo,381650,24
2023,Anthony Edwards,274739,25
2023,Jrue Holiday,256596,26
2023,Jaren Jackson Jr.,209714,27
2022,LeBron James,9128231,1
2022,Stephen Curry,7659673,2
2022,Kevin Durant,6789863,3
2022,Giannis Antetokounmpo,6485720,4
2022,Nikola Jokic,5311167,5
2022,DeMar DeRozan,5243775,6
2022,Joel Embiid,4323865,7
2022,Ja Morant,3571695,8
2022,Andrew Wiggins,3452586,9
2022,Paul George,2805203,10
2022,Trae Young,2771070,11
2022,Luka Doncic,2506117,12
2022,Zach LaVine,2502255,13
2022,James Harden,2458923,14
2022,Draymond Green,2421934,15
2022,Jayson Tatum,1996181,16
2022,Jimmy Butler,1787818,17
2022,Karl-Anthony Towns,1601695,18
2022,LaMelo Ball,1237410,19
2022,Devin Booker,1165233,20
2022,Kyrie Irving,1133025,21
2022,Chris Paul,949034,22
2022,Fred VanVleet,818492,23
2022,Donovan Mitchell,794563,24
2022,Rudy Gobert,767505,25
2022,Jarrett Allen,690279,26
2022,Darius Garland,525728,27
2022,Dejounte Murray,307213,28
2021,LeBron James,5922554,1
2021,Kevin Durant,5567106,2
2021,Stephen Curry,5481033,3
2021,Giannis Antetokounmpo,4459276,4
2021,Nikola Jokic,4208879,5
2021,Joel Embiid,4171690,6
2021,Bradley Beal,3485051,7
2021,Kawhi Leonard,3388151,8
2021,Luka Doncic,3335042,9
2021,Anthony Davis,3075499,10
2021,Damian Lillard,2848663,11
2021,Kyrie Irving,2765320,12
2021,James Harden,2347594,13
2021,Jayson Tatum,2295299,14
2021,Zach LaVine,1500979,15
2021,Jaylen Brown,1401416,16
2021,Paul George,1310058,17
2021,Zion Williamson,1250684,18
2021,Donovan Mitchell,741272,19
2021,Julius Randle,652417,20
2021,Devin Booker,615858,21
2021,Domantas Sabonis,555788,22
2021,Chris Paul,391667,23
2021,Rudy Gobert,388106,24
2021,Ben Simmons,366887,25
2021,Nikola Vucevic,313265,26
2020,LeBron James,6275459,1
2020,Luka Doncic,6111735,2
2020,Giannis Antetokounmpo,5902286,3
2020,Anthony Davis,5813769,4
2020,Kawhi Leonard,3917190,5
2020,James Harden,3751362,6
2020,Pascal Siakam,3293494,7
2020,Joel Embiid,3110185,8
2020,Trae Young,2829969,9
2020,Jimmy Butler,2784717,10
2020,Kemba Walker,2309416,11
2020,Jayson Tatum,2177910,12
2020,Damian Lillard,1337540,13
2020,Nikola Jokic,1232979,14
2020,Kyle Lowry,1199518,15
2020,Russell Westbrook,1094254,16
2020,Brandon Ingram,1015453,17
2020,Donovan Mitchell,928911,18
2020,Ben Simmons,824128,19
2020,Devin Booker,811479,20
2020,Bam Adebayo,718240,21
2020,Rudy Gobert,622699,22
2020,Domantas Sabonis,564027,23
2020,Chris Paul,446095,24
2020,Khris Middleton,349404,25
2019,LeBron James,4620809,1
2019,Giannis Antetokounmpo,4375747,2
2019,Kyrie Irving,3881766,3
2019,Stephen Curry,3861038,4
2019,Kawhi Leonard,3580531,5
2019,Kevin Durant,3150648,6
2019,Paul George,3122346,7
2019,James Harden,2905488,8
2019,Joel Embiid,2783833,9
2019,Anthony Davis,2520728,10
2019,Russell Westbrook,2512374,11
2019,Dwyane Wade,2208598,12
2019,Klay Thompson,1578140,13
2019,Nikola Jokic,1445989,14
2019,Kemba Walker,1395330,15
2019,Ben Simmons,1184221,16
2019,Damian Lillard,1043785,17
2019,Victor Oladipo,948260,18
2019,Kyle Lowry,931460,19
2019,Blake Griffin,843785,20
2019,Pascal Siakam,506199,21
2019,Karl-Anthony Towns,501401,22
2019,LaMarcus Aldridge,463118,23
2019,Dirk Nowitzki,394622,24
2019,Bradley Beal,346027,25
2018,LeBron James,2638294,1
2018,Giannis Antetokounmpo,2530211,2
2018,Stephen Curry,2379494,3
2018,Kevin Durant,2238406,4
2018,Kyrie Irving,2170833,5
2018,James Harden,1486830,6
2018,Joel Embiid,1285587,7
2018,Russell Westbrook,1241129,8
2018,Klay Thompson,1239768,9
2018,Draymond Green,1135478,10
2018,Kristaps Porzingis,1116769,11
2018,Anthony Davis,1088230,12
2018,DeMar DeRozan,998999,13
2018,DeMarcus Cousins,922269,14
2018,Paul George,881287,15
2018,Kevin Love,771929,16
2018,Victor Oladipo,634495,17
2018,LaMarcus Aldridge,578853,18
2018,Karl-Anthony Towns,552376,19
2018,John Wall,542836,20
2018,Goran Dragic,482214,21
2018,Damian Lillard,439462,22
2018,Al Horford,384936,23
2018,Jimmy Butler,329435,24
