Player,Year,Votes,Vote_Share
LeBron James,2023,7418116,0.09601709383013098
Giannis Antetokounmpo,2023,6761032,0.08751206424010059
Kevin Durant,2023,6525199,0.08445953725221832
Stephen Curry,2023,5826248,0.07541259814400487
Luka Doncic,2023,5566875,0.0720553789150251
Nikola Jokic,2023,5418036,0.07012886708525823
Jayson Tatum,2023,5221720,0.0675878321658318
Joel Embiid,2023,4900482,0.06342985739328798
Kyrie Irving,2023,4467232,0.05782204458719217
Donovan Mitchell,2023,4440133,0.057471286089252435
Zion Williamson,2023,4217393,0.05458822959893557
Jaylen Brown,2023,2416644,0.03128006271430954
Ja Morant,2023,2214793,0.028667384993078734
Shai Gilgeous-Alexander,2023,2107557,0.027279365572248984
Paul George,2023,1775937,0.02298701038988893
Lauri Markkanen,2023,1642052,0.021254057089152314
DeMar DeRozan,2023,1130944,0.01463848181460409
Pascal Siakam,2023,868243,0.011238186299372293
Domantas Sabonis,2023,859352,0.011123104790638312
Damian Lillard,2023,774826,0.01002903442653432
Tyrese Haliburton,2023,653123,0.008453760007745448
De'Aaron Fox,2023,477787,0.006184281724607271
Julius Randle,2023,451862,0.005848719007935524
Bam Adebayo,2023,381650,0.004939923271659473
Anthony Edwards,2023,274739,0.0035561105194090187
Jrue Holiday,2023,256596,0.0033212748639191254
Jaren Jackson Jr.,2023,209714,0.002714453213658574
LeBron James,2022,9128231,0.11240798168584382
Stephen Curry,2022,7659673,0.09432368465517058
Kevin Durant,2022,6789863,0.08361256367782417
Giannis Antetokounmpo,2022,6485720,0.07986724864648047
Nikola Jokic,2022,5311167,0.06540342404420507
DeMar DeRozan,2022,5243775,0.064573537212707
Joel Embiid,2022,4323865,0.05324546867099015
Ja Morant,2022,3571695,0.04398300460926328
Andrew Wiggins,2022,3452586,0.04251625795368246
Paul George,2022,2805203,0.0345441748186559
Trae Young,2022,2771070,0.03412385004391226
Luka Doncic,2022,2506117,0.030861133316913415
Zach LaVine,2022,2502255,0.03081357540286953
James Harden,2022,2458923,0.030279971174140986
Draymond Green,2022,2421934,0.02982447669393144
Jayson Tatum,2022,1996181,0.024581616886078957
Jimmy Butler,2022,1787818,0.022015767677397945
Karl-Anthony Towns,2022,1601695,0.019723789004277785
LaMelo Ball,2022,1237410,0.01523786598059142
Devin Booker,2022,1165233,0.014349055115250793
Kyrie Irving,2022,1133025,0.013952435411593243
Chris Paul,2022,949034,0.011686710874346093
Fred VanVleet,2022,818492,0.01007917456799786
Donovan Mitchell,2022,794563,0.009784505141494461
Rudy Gobert,2022,767505,0.009451304199443853
Jarrett Allen,2022,690279,0.008500318319083138
Darius Garland,2022,525728,0.00647398421399889
Dejounte Murray,2022,307213,0.0037831200018550296
LeBron James,2021,5922554,0.09404662577201492
Kevin Durant,2021,5567106,0.08840232349340148
Stephen Curry,2021,5481033,0.08703553558060666
Giannis Antetokounmpo,2021,4459276,0.07081064371656681
Nikola Jokic,2021,4208879,0.06683448867375331
Joel Embiid,2021,4171690,0.06624394953036425
Bradley Beal,2021,3485051,0.05534053166815978
Kawhi Leonard,2021,3388151,0.053801817451740945
Luka Doncic,2021,3335042,0.05295847820179473
Anthony Davis,2021,3075499,0.048837090132940304
Damian Lillard,2021,2848663,0.04523506972018919
Kyrie Irving,2021,2765320,0.04391163257943588
James Harden,2021,2347594,0.03727839279855069
Jayson Tatum,2021,2295299,0.03644797938319855
Zach LaVine,2021,1500979,0.02383465145352042
Jaylen Brown,2021,1401416,0.022253650385106506
Paul George,2021,1310058,0.020802939823872324
Zion Williamson,2021,1250684,0.019860116109882107
Donovan Mitchell,2021,741272,0.011770957323356283
Julius Randle,2021,652417,0.01035999290952867
Devin Booker,2021,615858,0.009779457790456882
Domantas Sabonis,2021,555788,0.00882558201150663
Chris Paul,2021,391667,0.0062194384004346384
Rudy Gobert,2021,388106,0.0061628918439365216
Ben Simmons,2021,366887,0.005825946777288521
Nikola Vucevic,2021,313265,0.004974461393255385
Mike Conley,2021,135103,0.0021453550751376065
LeBron James,2020,6275459,0.10560795449257794
Luka Doncic,2020,6111735,0.10285268882335075
Giannis Antetokounmpo,2020,5902286,0.0993279298438855
Anthony Davis,2020,5813769,0.09783830186482938
Kawhi Leonard,2020,3917190,0.06592130125601671
James Harden,2020,3751362,0.06313062795584931
Pascal Siakam,2020,3293494,0.05542529470331628
Joel Embiid,2020,3110185,0.05234043851509483
Trae Young,2020,2829969,0.04762476137082663
Jimmy Butler,2020,2784717,0.046863228046061356
Kemba Walker,2020,2309416,0.03886451968412691
Jayson Tatum,2020,2177910,0.036651441778032555
Damian Lillard,2020,1337540,0.02250908872992441
Nikola Jokic,2020,1232979,0.020749460736227302
Kyle Lowry,2020,1199518,0.020186354871735774
Russell Westbrook,2020,1094254,0.01841489628652205
Brandon Ingram,2020,1015453,0.01708877616973543
Donovan Mitchell,2020,928911,0.01563238491649058
Ben Simmons,2020,824128,0.01386902094652507
Devin Booker,2020,811479,0.0136561544428356
Bam Adebayo,2020,718240,0.01208706123882718
Rudy Gobert,2020,622699,0.010479228316936465
Domantas Sabonis,2020,564027,0.009491853543873883
Chris Paul,2020,446095,0.007507208709254025
Khris Middleton,2020,349404,0.005880022757144091
LeBron James,2019,4620809,0.08957794057559725
Giannis Antetokounmpo,2019,4375747,0.08482722500320786
Kyrie Irving,2019,3881766,0.07525102294346592
Stephen Curry,2019,3861038,0.07484919470251267
Kawhi Leonard,2019,3580531,0.0694113505118008
Kevin Durant,2019,3150648,0.06107773753873495
Paul George,2019,3122346,0.060529081475658
James Harden,2019,2905488,0.05632512216088371
Joel Embiid,2019,2783833,0.053966746309225634
Anthony Davis,2019,2520728,0.04886625328838393
Russell Westbrook,2019,2512374,0.048704304565645444
Dwyane Wade,2019,2208598,0.04281537289236212
Klay Thompson,2019,1578140,0.030593459097740902
Nikola Jokic,2019,1445989,0.028031610203963695
Kemba Walker,2019,1395330,0.02704954648057258
Ben Simmons,2019,1184221,0.022957035957637362
Damian Lillard,2019,1043785,0.020234575959252973
Victor Oladipo,2019,948260,0.018382750278190647
Kyle Lowry,2019,931460,0.01805706934187191
Blake Griffin,2019,843785,0.01635742195545852
Pascal Siakam,2019,506199,0.009813057397833745
Karl-Anthony Towns,2019,501401,0.009720044473282716
LaMarcus Aldridge,2019,463118,0.0089778990396464
Dirk Nowitzki,2019,394622,0.007650051336426876
Bradley Beal,2019,346027,0.0067079998423549185
Nikola Vucevic,2019,255487,0.004952812224837169
D'Angelo Russell,2019,222499,0.004313314443451312
LeBron James,2018,2638294,0.09102976452002745
